               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.012312,           0.0050966,           0.0013247,             0.99291,             0.99859,               0.995,             0.84678,            0.016495,           0.0035435,           0.0016965,            0.070127,           0.0033193,           0.0033193
                   1,            0.020884,           0.0060217,           0.0015037,             0.93579,             0.97447,             0.98415,             0.65367,            0.023796,           0.0038754,            0.001945,            0.039995,           0.0065209,           0.0065209
                   2,            0.027257,           0.0071407,           0.0018631,             0.94081,             0.99106,             0.98981,             0.72526,            0.026193,           0.0045895,           0.0023453,           0.0097311,           0.0095905,           0.0095905
                   3,             0.02848,           0.0072501,             0.00208,             0.96951,                   1,             0.99182,             0.66406,            0.028373,           0.0050321,           0.0024627,            0.009406,            0.009406,            0.009406
                   4,            0.028614,           0.0071698,           0.0021356,             0.99487,                   1,               0.995,             0.74167,             0.02261,           0.0047144,           0.0026044,            0.009406,            0.009406,            0.009406
                   5,            0.027247,           0.0073966,           0.0021036,             0.99574,                   1,               0.995,             0.69581,             0.02602,           0.0048518,             0.00259,            0.009208,            0.009208,            0.009208
                   6,            0.027663,           0.0072335,           0.0020573,             0.99688,                   1,               0.995,             0.78713,            0.022732,           0.0047978,           0.0023769,             0.00901,             0.00901,             0.00901
                   7,             0.02585,           0.0073204,           0.0018842,              0.9367,             0.99863,             0.98698,             0.69596,            0.024408,           0.0047094,           0.0024373,            0.008812,            0.008812,            0.008812
                   8,            0.026173,           0.0075006,           0.0020118,             0.93962,             0.96536,             0.98915,             0.73182,            0.029322,           0.0046855,           0.0023861,            0.008614,            0.008614,            0.008614
                   9,            0.025735,           0.0071239,           0.0019436,             0.99722,                   1,               0.995,             0.80037,            0.022069,            0.004394,           0.0023805,            0.008416,            0.008416,            0.008416
                  10,            0.024465,           0.0069099,           0.0020074,             0.94994,             0.99837,              0.9919,             0.73789,            0.024842,           0.0046216,           0.0023452,            0.008218,            0.008218,            0.008218
